created_at	volume	rank	twitter_id	text	text_clean	text_clean_stopped	node_weights	retweet_count	text_weight	show_text	news
2016-06-18 00:03:00	1										
2016-06-18 00:04:00	0										
2016-06-18 00:05:00	1										
2016-06-18 00:06:00	0										
2016-06-18 00:07:00	0										
2016-06-18 00:08:00	2										
2016-06-18 00:09:00	0										
2016-06-18 00:10:00	1										
2016-06-18 00:11:00	1										
2016-06-18 00:12:00	1										
2016-06-18 00:13:00	0										
2016-06-18 00:14:00	0										
2016-06-18 00:15:00	2										
2016-06-18 00:16:00	0										
2016-06-18 00:17:00	0										
2016-06-18 00:18:00	1										
2016-06-18 00:19:00	2										
2016-06-18 00:20:00	0										
2016-06-18 00:21:00	1										
2016-06-18 00:22:00	0										
2016-06-18 00:23:00	0										
2016-06-18 00:24:00	0										
2016-06-18 00:25:00	0										
2016-06-18 00:26:00	0										
2016-06-18 00:27:00	0										
2016-06-18 00:28:00	1										
2016-06-18 00:29:00	0										
2016-06-18 00:30:00	2										
2016-06-18 00:31:00	0										
2016-06-18 00:32:00	1										
2016-06-18 00:33:00	0										
2016-06-18 00:34:00	0										
2016-06-18 00:35:00	0										
2016-06-18 00:36:00	1										
2016-06-18 00:37:00	1										
2016-06-18 00:38:00	0										
2016-06-18 00:39:00	0										
2016-06-18 00:40:00	0										
2016-06-18 00:41:00	0										
2016-06-18 00:42:00	0										
2016-06-18 00:43:00	0										
2016-06-18 00:44:00	0										
2016-06-18 00:45:00	0										
2016-06-18 00:46:00	0										
2016-06-18 00:47:00	1										
2016-06-18 00:48:00	2										
2016-06-18 00:49:00	0										
2016-06-18 00:50:00	0										
2016-06-18 00:51:00	0										
2016-06-18 00:52:00	0										
2016-06-18 00:53:00	0										
2016-06-18 00:54:00	0										
2016-06-18 00:55:00	2										
2016-06-18 00:56:00	0										
2016-06-18 00:57:00	1										
2016-06-18 00:58:00	1										
2016-06-18 00:59:00	0										
2016-06-18 01:00:00	1										
2016-06-18 01:01:00	1										
2016-06-18 01:02:00	3										
2016-06-18 01:03:00	0										
2016-06-18 01:04:00	0										
2016-06-18 01:05:00	0										
2016-06-18 01:06:00	0										
2016-06-18 01:07:00	1										
