created_at	volume	rank	twitter_id	text	text_clean	text_clean_stopped	node_weights	retweet_count	text_weight	show_text	news
2016-06-08 00:05:00	1										
2016-06-08 00:06:00	0										
2016-06-08 00:07:00	1										
2016-06-08 00:08:00	0										
2016-06-08 00:09:00	0										
2016-06-08 00:10:00	0										
2016-06-08 00:11:00	0										
2016-06-08 00:12:00	0										
2016-06-08 00:13:00	1										
2016-06-08 00:14:00	1										
2016-06-08 00:15:00	1										
2016-06-08 00:16:00	0										
2016-06-08 00:17:00	0										
2016-06-08 00:18:00	0										
2016-06-08 00:19:00	0										
2016-06-08 00:20:00	0										
2016-06-08 00:21:00	1										
2016-06-08 00:22:00	0										
2016-06-08 00:23:00	6										
2016-06-08 00:24:00	4										
2016-06-08 00:25:00	0										
2016-06-08 00:26:00	0										
2016-06-08 00:27:00	0										
2016-06-08 00:28:00	0										
2016-06-08 00:29:00	0										
2016-06-08 00:30:00	1										
2016-06-08 00:31:00	0										
2016-06-08 00:32:00	0										
2016-06-08 00:33:00	0										
2016-06-08 00:34:00	0										
2016-06-08 00:35:00	0										
2016-06-08 00:36:00	0										
2016-06-08 00:37:00	1										
2016-06-08 00:38:00	0										
2016-06-08 00:39:00	0										
2016-06-08 00:40:00	0										
2016-06-08 00:41:00	0										
2016-06-08 00:42:00	0										
2016-06-08 00:43:00	0										
2016-06-08 00:44:00	0										
2016-06-08 00:45:00	0										
2016-06-08 00:46:00	0										
2016-06-08 00:47:00	0										
2016-06-08 00:48:00	0										
2016-06-08 00:49:00	0										
2016-06-08 00:50:00	0										
2016-06-08 00:51:00	0										
2016-06-08 00:52:00	1										
2016-06-08 00:53:00	1										
2016-06-08 00:54:00	0										
2016-06-08 00:55:00	0										
2016-06-08 00:56:00	0										
2016-06-08 00:57:00	1										
2016-06-08 00:58:00	0										
2016-06-08 00:59:00	0										
2016-06-08 01:00:00	0										
2016-06-08 01:01:00	0										
2016-06-08 01:02:00	0										
2016-06-08 01:03:00	0										
2016-06-08 01:04:00	0										
2016-06-08 01:05:00	0										
2016-06-08 01:06:00	0										
2016-06-08 01:07:00	0										
2016-06-08 01:08:00	0										
2016-06-08 01:09:00	0										
2016-06-08 01:10:00	0										
2016-06-08 01:11:00	1										
2016-06-08 01:12:00	0										
2016-06-08 01:13:00	0										
2016-06-08 01:14:00	1										
2016-06-08 01:15:00	0										
2016-06-08 01:16:00	0										
2016-06-08 01:17:00	0										
2016-06-08 01:18:00	0										
2016-06-08 01:19:00	0										
2016-06-08 01:20:00	1										
2016-06-08 01:21:00	0										
2016-06-08 01:22:00	0										
2016-06-08 01:23:00	0										
2016-06-08 01:24:00	0										
2016-06-08 01:25:00	0										
2016-06-08 01:26:00	1										
2016-06-08 01:27:00	1										
2016-06-08 01:28:00	0										
2016-06-08 01:29:00	0										
2016-06-08 01:30:00	0										
2016-06-08 01:31:00	0										
2016-06-08 01:32:00	0										
2016-06-08 01:33:00	1										
2016-06-08 01:34:00	0										
2016-06-08 01:35:00	0										
2016-06-08 01:36:00	0										
2016-06-08 01:37:00	0										
2016-06-08 01:38:00	0										
2016-06-08 01:39:00	0										
2016-06-08 01:40:00	0										
2016-06-08 01:41:00	2										
2016-06-08 01:42:00	0										
2016-06-08 01:43:00	0										
2016-06-08 01:44:00	0										
2016-06-08 01:45:00	0										
2016-06-08 01:46:00	0										
2016-06-08 01:47:00	1										
2016-06-08 01:48:00	0										
2016-06-08 01:49:00	0										
2016-06-08 01:50:00	0										
2016-06-08 01:51:00	1										
2016-06-08 01:52:00	0										
2016-06-08 01:53:00	0										
2016-06-08 01:54:00	0										
2016-06-08 01:55:00	0										
2016-06-08 01:56:00	0										
2016-06-08 01:57:00	0										
2016-06-08 01:58:00	1										
2016-06-08 01:59:00	0										
2016-06-08 02:00:00	1										
2016-06-08 02:01:00	0										
2016-06-08 02:02:00	0										
2016-06-08 02:03:00	1										
2016-06-08 02:04:00	0										
2016-06-08 02:05:00	0										
2016-06-08 02:06:00	0										
2016-06-08 02:07:00	0										
2016-06-08 02:08:00	0										
2016-06-08 02:09:00	1										
2016-06-08 02:10:00	0										
2016-06-08 02:11:00	0										
2016-06-08 02:12:00	0										
2016-06-08 02:13:00	0										
2016-06-08 02:14:00	0										
2016-06-08 02:15:00	0										
2016-06-08 02:16:00	0										
2016-06-08 02:17:00	0										
2016-06-08 02:18:00	0										
2016-06-08 02:19:00	0										
2016-06-08 02:20:00	0										
2016-06-08 02:21:00	0										
2016-06-08 02:22:00	2										
2016-06-08 02:23:00	0										
2016-06-08 02:24:00	0										
2016-06-08 02:25:00	0										
2016-06-08 02:26:00	0										
2016-06-08 02:27:00	0										
2016-06-08 02:28:00	0										
2016-06-08 02:29:00	0										
2016-06-08 02:30:00	0										
2016-06-08 02:31:00	0										
2016-06-08 02:32:00	0										
2016-06-08 02:33:00	0										
2016-06-08 02:34:00	0										
2016-06-08 02:35:00	0										
